epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.518,1.31121,2.95334,1.53954,0.43074,0.36261,0.34808,0.19693,1.61343,2.74183,1.82717,0.000255818,0.000255818,0.000255818
2,539.32,1.36659,2.31518,1.57391,0.43615,0.4214,0.38987,0.2195,1.66893,2.8073,1.86168,0.00050201,0.00050201,0.00050201
3,725.233,1.4023,2.10733,1.59711,0.49988,0.37793,0.39863,0.21633,1.81345,2.66437,1.99913,0.000738052,0.000738052,0.000738052
4,892.077,1.38936,1.99014,1.59712,0.49575,0.4452,0.44478,0.23798,1.74,2.41936,1.98546,0.000723321,0.000723321,0.000723321
5,1051.07,1.36921,1.84427,1.56731,0.53281,0.46329,0.47266,0.26071,1.70377,2.4055,1.88479,0.000708095,0.000708095,0.000708095
6,1272.92,1.33026,1.73196,1.53607,0.54249,0.44981,0.48577,0.26518,1.69672,2.45009,1.85808,0.000692869,0.000692869,0.000692869
7,1546.8,1.28828,1.6686,1.50701,0.5791,0.51253,0.5246,0.31004,1.64079,2.22196,1.83798,0.000677643,0.000677643,0.000677643
8,1792.61,1.27909,1.60287,1.50549,0.59996,0.52084,0.54569,0.3344,1.62605,2.36491,1.8001,0.000662417,0.000662417,0.000662417
9,1942.02,1.25435,1.52876,1.48624,0.64039,0.55052,0.58299,0.33683,1.61346,2.102,1.7979,0.00064719,0.00064719,0.00064719
10,2013.64,1.22381,1.48379,1.46153,0.60673,0.54328,0.59051,0.36711,1.59274,2.04961,1.80844,0.000631964,0.000631964,0.000631964
11,2085.68,1.21172,1.42825,1.4472,0.567,0.58587,0.59821,0.36675,1.56312,2.00295,1.79361,0.000616738,0.000616738,0.000616738
12,2154.53,1.19083,1.38472,1.43053,0.66039,0.58617,0.63046,0.3831,1.58587,1.94036,1.80457,0.000601512,0.000601512,0.000601512
13,2228.08,1.18189,1.35199,1.42364,0.64909,0.57012,0.62767,0.38942,1.54846,1.99186,1.77611,0.000586286,0.000586286,0.000586286
14,2303.87,1.16152,1.31331,1.40936,0.6567,0.59771,0.64894,0.39126,1.54674,1.81339,1.73336,0.000571059,0.000571059,0.000571059
15,2378.14,1.1458,1.27683,1.39279,0.66912,0.5808,0.64548,0.40775,1.58666,1.84379,1.75445,0.000555833,0.000555833,0.000555833
16,2452.34,1.12662,1.24068,1.3849,0.67385,0.6281,0.64848,0.39736,1.5473,1.92903,1.74557,0.000540607,0.000540607,0.000540607
17,2524.87,1.12112,1.21542,1.37237,0.71138,0.5934,0.65635,0.41116,1.5175,1.79205,1.72688,0.000525381,0.000525381,0.000525381
18,2598.95,1.11131,1.19649,1.3671,0.7335,0.60431,0.68239,0.43097,1.54337,1.85222,1.74079,0.000510155,0.000510155,0.000510155
19,2671.3,1.10275,1.18316,1.36568,0.66827,0.66667,0.68502,0.43868,1.52043,1.7382,1.70859,0.000494928,0.000494928,0.000494928
20,2741.01,1.0894,1.15484,1.35643,0.68792,0.63542,0.68227,0.43805,1.49745,1.74736,1.7087,0.000479702,0.000479702,0.000479702
21,2810,1.06782,1.12979,1.33718,0.68346,0.6385,0.66678,0.42827,1.50153,1.80231,1.70885,0.000464476,0.000464476,0.000464476
22,2881.62,1.06305,1.08839,1.32906,0.72684,0.62347,0.69441,0.45198,1.46541,1.69963,1.67933,0.00044925,0.00044925,0.00044925
23,2953.17,1.06187,1.07292,1.32223,0.69251,0.63569,0.67643,0.43873,1.47076,1.78394,1.67557,0.000434024,0.000434024,0.000434024
24,3024.16,1.04557,1.05807,1.31755,0.728,0.63438,0.68961,0.44754,1.49301,1.84154,1.70898,0.000418797,0.000418797,0.000418797
25,3093.92,1.02718,1.03287,1.30132,0.69488,0.63958,0.68216,0.44556,1.49645,1.86975,1.70322,0.000403571,0.000403571,0.000403571
26,3164.65,1.02775,1.01848,1.29999,0.73088,0.61757,0.68238,0.44737,1.47603,1.88774,1.69228,0.000388345,0.000388345,0.000388345
27,3235.99,1.00818,0.99223,1.28667,0.75202,0.63116,0.70081,0.45664,1.48403,1.77871,1.68246,0.000373119,0.000373119,0.000373119
28,3307,1.00156,0.98754,1.27849,0.68407,0.68279,0.69169,0.44549,1.51331,1.73232,1.72324,0.000357893,0.000357893,0.000357893
29,3377.11,0.99795,0.96346,1.27468,0.69261,0.65509,0.68091,0.44644,1.49758,1.87174,1.7122,0.000342666,0.000342666,0.000342666
30,3446.43,0.98072,0.9536,1.26668,0.69913,0.63675,0.67909,0.45076,1.4814,1.8186,1.70112,0.00032744,0.00032744,0.00032744
31,3515.72,0.98123,0.93556,1.26708,0.75643,0.62599,0.70099,0.45422,1.48704,1.71613,1.70217,0.000312214,0.000312214,0.000312214
32,3584.68,0.96171,0.90483,1.25082,0.73115,0.65964,0.70096,0.45655,1.50892,1.73531,1.70905,0.000296988,0.000296988,0.000296988
33,3658.09,0.96495,0.89962,1.25572,0.71395,0.64429,0.68779,0.45281,1.53021,1.78264,1.71748,0.000281762,0.000281762,0.000281762
34,3727.8,0.94536,0.88652,1.24181,0.74226,0.65316,0.69928,0.45242,1.54282,1.75409,1.73596,0.000266535,0.000266535,0.000266535
35,3796.86,0.94116,0.87364,1.23518,0.71632,0.66711,0.70257,0.46465,1.50036,1.74442,1.70804,0.000251309,0.000251309,0.000251309
36,3865.7,0.93241,0.86069,1.23462,0.72209,0.65754,0.70932,0.4666,1.47576,1.76014,1.67779,0.000236083,0.000236083,0.000236083
37,3933.79,0.92712,0.84495,1.22623,0.70512,0.67263,0.70659,0.46948,1.49557,1.75018,1.69944,0.000220857,0.000220857,0.000220857
38,4003.42,0.9111,0.82788,1.2208,0.7728,0.63559,0.70726,0.46812,1.51448,1.76669,1.72452,0.000205631,0.000205631,0.000205631
39,4079.44,0.91574,0.82962,1.21918,0.73162,0.64704,0.70673,0.47688,1.49391,1.77439,1.69941,0.000190404,0.000190404,0.000190404
40,4150.78,0.90024,0.81331,1.20642,0.73788,0.65972,0.71153,0.47742,1.4916,1.69761,1.69951,0.000175178,0.000175178,0.000175178
41,4259.48,0.84556,0.60571,1.19532,0.71493,0.67084,0.70501,0.47045,1.49985,1.69463,1.70945,0.000159952,0.000159952,0.000159952
42,4326.78,0.82332,0.56543,1.17711,0.74578,0.65733,0.71101,0.47469,1.49373,1.71214,1.71989,0.000144726,0.000144726,0.000144726
43,4394.36,0.8063,0.5504,1.16566,0.74354,0.66134,0.71418,0.47421,1.50035,1.71387,1.72581,0.0001295,0.0001295,0.0001295
44,4463.28,0.79088,0.53387,1.15258,0.75377,0.66712,0.71295,0.47497,1.48266,1.70935,1.71062,0.000114273,0.000114273,0.000114273
45,4544.38,0.78245,0.52395,1.14397,0.762,0.66126,0.72135,0.48058,1.49756,1.71302,1.73083,9.90472e-05,9.90472e-05,9.90472e-05
46,4621.74,0.763,0.505,1.13136,0.73219,0.66534,0.72065,0.48006,1.49214,1.66541,1.73238,8.3821e-05,8.3821e-05,8.3821e-05
47,4700.18,0.75927,0.49754,1.12693,0.74347,0.6583,0.71656,0.47789,1.49882,1.71974,1.74271,6.85948e-05,6.85948e-05,6.85948e-05
48,4772.57,0.74365,0.48423,1.11539,0.73368,0.67632,0.72149,0.48245,1.50349,1.72,1.74624,5.33686e-05,5.33686e-05,5.33686e-05
49,4843.07,0.73654,0.47519,1.10919,0.74067,0.66288,0.719,0.48218,1.50171,1.71435,1.74969,3.81424e-05,3.81424e-05,3.81424e-05
50,4913.12,0.72381,0.46794,1.10113,0.72608,0.67327,0.71535,0.48116,1.51112,1.72665,1.76299,2.29162e-05,2.29162e-05,2.29162e-05
